State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,268,11,52
Ohio,257,9,31
Georgia,254,6,26
Michigan,202,5,28
Alabama,201,6,25
California,150,7,40
Pennsylvania,141,4,17
Oklahoma,123,3,25
Iowa,122,3,18
North Carolina,121,10,36
Indiana,120,5,22
Florida,119,7,28
Mississippi,113,4,20
Louisiana,104,7,21
South Carolina,97,4,19
Washington,82,3,11
Virginia,79,5,20
Kentucky,76,3,14
Tennessee,74,5,13
Utah,57,4,13
Oregon,57,2,11
Arkansas,47,2,8
Minnesota,46,1,9
Massachusetts,39,4,11
Wisconsin,38,1,9
Nebraska,34,1,7
Arizona,33,2,10
North Dakota,33,2,5
Missouri,27,5,11
Colorado,27,4,8
Nevada,25,2,5
Connecticut,24,3,4
Illinois,22,3,14
Wyoming,20,1,1
Maryland,18,2,4
Idaho,16,3,6
South Dakota,12,2,6
New Jersey,12,1,5
Montana,12,2,3
New York,9,3,5
Kansas,6,3,5
Rhode Island,5,1,1
West Virginia,3,2,3
Hawaii,1,1,1
Ontario,1,1,1
