State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,311,6,39
Ohio,273,3,24
Texas,259,10,42
Georgia,196,3,19
South Carolina,190,4,32
Indiana,166,4,22
California,164,7,33
Oklahoma,138,3,25
Florida,132,6,30
Iowa,129,3,15
Mississippi,110,4,16
Washington,109,2,10
North Carolina,104,6,16
Michigan,93,4,16
Pennsylvania,86,2,15
Louisiana,77,5,14
Oregon,76,2,11
Virginia,73,3,14
Arkansas,67,1,8
Kentucky,58,3,13
Nevada,47,1,5
Utah,38,3,8
Arizona,38,1,8
Tennessee,35,4,11
Massachusetts,35,1,6
Illinois,32,2,4
Minnesota,31,1,6
Wisconsin,26,1,6
West Virginia,18,2,4
Missouri,16,2,7
New York,14,2,5
Colorado,12,2,3
New Jersey,10,1,4
Idaho,10,1,1
Maryland,8,2,4
Connecticut,8,1,1
Nebraska,4,1,2
North Dakota,2,1,1
Wyoming,1,1,1
Hawaii,1,1,1
