ScrapeDate,NumberOfSchools,TopSchool,TopProjectedPoints,ProspectCountForTopSchool
2021-10-03,41,Clemson,210,7
2021-10-20,52,Alabama,222,12
2021-10-25,57,Alabama,210,12
2021-12-31,68,Alabama,185,14
2022-01-03,68,Alabama,179,13
2022-01-10,75,Alabama,151,13
2022-01-11,76,Alabama,221,13
2022-01-14,76,Alabama,236,13
2022-01-17,78,Alabama,303,17
2022-01-18,78,Alabama,302,17
2022-01-20,78,Alabama,340,18
2022-01-22,78,Alabama,347,18
2022-01-27,87,Alabama,294,22
2022-02-09,88,Alabama,326,22
2022-02-19,95,Alabama,327,23
2022-05-02,97,Alabama,332,22
2022-05-05,98,Alabama,343,22
2022-05-09,99,Alabama,325,22
2022-05-12,99,Alabama,322,22
2022-05-16,101,Alabama,340,23
2022-05-18,103,Alabama,353,23
2022-05-23,103,Alabama,344,23
2022-06-01,103,Alabama,351,24
2022-06-06,103,Alabama,311,24
2022-06-07,103,Alabama,312,24
2022-06-14,103,Alabama,305,24
2022-06-21,103,Alabama,303,24
2022-06-27,103,Alabama,303,24
2022-07-07,103,Alabama,296,24
2022-07-11,103,Alabama,301,24
2022-07-19,103,Alabama,301,24
2022-07-23,103,Alabama,297,24
2022-07-28,103,Alabama,292,24
2022-08-01,104,Alabama,313,24
2022-08-08,104,Alabama,308,25
2022-08-16,104,Alabama,314,25
2022-08-23,110,Alabama,302,25
2022-08-29,110,Alabama,299,25
2022-09-01,110,Alabama,302,26
2022-09-02,112,Alabama,296,27
2022-09-06,112,Alabama,293,27
2022-09-07,112,Alabama,288,27
2022-09-09,112,Alabama,282,27
2022-09-12,112,Alabama,282,27
2022-09-15,113,Alabama,287,27
2022-09-19,113,Alabama,293,27
2022-09-26,114,Alabama,272,27
2022-10-03,115,Alabama,273,27
2022-10-09,115,Alabama,263,27
2022-10-11,118,Alabama,258,27
2022-10-17,118,Alabama,270,27
2022-10-24,119,Alabama,257,27
2022-10-28,119,Alabama,262,27
2022-10-30,119,Alabama,260,27
2022-10-31,119,Alabama,265,27
2022-11-02,119,Alabama,266,27
2022-11-08,122,Alabama,268,27
2022-11-14,123,Alabama,244,27
2022-12-02,129,Alabama,239,27
2022-12-05,129,Alabama,231,26
2022-12-12,132,Alabama,229,24
2022-12-14,132,Alabama,229,24
2022-12-15,131,Alabama,234,24
2022-12-19,131,Alabama,234,24
2022-12-20,131,Alabama,234,24
2022-12-27,131,Alabama,235,23
2022-12-29,131,Alabama,235,23
2023-01-01,131,Alabama,235,23
2023-01-02,131,Alabama,232,23
2023-01-05,131,Alabama,220,21
2023-01-08,131,Alabama,225,21
2023-01-10,132,Alabama,224,21
2023-01-11,132,Alabama,226,21
2023-01-15,133,Alabama,231,21
2023-01-17,133,Alabama,226,21
2023-01-20,134,Alabama,225,21
2023-01-21,130,Alabama,224,15
2023-01-23,129,Alabama,228,15
2023-01-25,131,Alabama,224,15
2023-01-28,131,Alabama,222,15
2023-01-30,131,Alabama,223,14
2023-02-02,131,Alabama,219,14
2023-02-04,130,Alabama,226,14
2023-02-08,131,Alabama,201,14
2023-02-10,131,Alabama,201,14
2023-02-13,131,Alabama,201,14
2023-02-14,132,Alabama,202,14
2023-02-15,136,Alabama,201,14
2023-02-17,137,Alabama,201,14
2023-02-18,137,Alabama,203,14
2023-02-19,138,Alabama,203,14
2023-02-21,138,Alabama,201,14
2023-02-23,139,Alabama,200,14
2023-02-26,137,Alabama,199,13
2023-02-27,138,Alabama,200,13
2023-03-02,138,Alabama,195,13
