Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Cameron Ward,Miami (FL),QB,2025-02-16,1,TENNESSEE TITANS,Florida,ACC,35
2,2,Abdul Carter,Penn State,EDGE,2025-02-16,2,CLEVELAND BROWNS,Pennsylvania,Big Ten,35
3,1,Travis Hunter,Colorado,CB,2025-02-16,4,NEW ENGLAND PATRIOTS,Colorado,Big 12,35
4,1,Shedeur Sanders,Colorado,QB,2025-02-16,3,NEW YORK GIANTS,Colorado,Big 12,35
5,4,Mason Graham,Michigan,DL,2025-02-16,5,JACKSONVILLE JAGUARS,Michigan,Big Ten,35
6,5,Will Campbell,LSU,OT,2025-02-16,10,CHICAGO BEARS,Louisiana,SEC,35
7,4,Will Johnson,Michigan,CB,2025-02-16,N/A,,Michigan,Big Ten,35
8,4,Tetairoa McMillan,Arizona,WR,2025-02-16,7,NEW YORK JETS,Arizona,Big 12,35
9,9,Ashton Jeanty,Boise State,RB,2025-02-16,6,LAS VEGAS RAIDERS,Idaho,FBS - Mountain West,35
10,9,Mykel Williams,Georgia,EDGE,2025-02-16,9,NEW ORLEANS SAINTS,Georgia,SEC,35
11,5,Kelvin Banks,Texas,OT,2025-02-16,18,SEATTLE SEAHAWKS,Texas,SEC,30
12,12,Tyler Warren,Penn State,TE,2025-02-16,14,INDIANAPOLIS COLTS,Pennsylvania,Big Ten,30
13,12,Jalon Walker,Georgia,EDGE,2025-02-16,8,CAROLINA PANTHERS,Georgia,SEC,30
14,10,Malaki Starks,Georgia,S,2025-02-16,13,MIAMI DOLPHINS,Georgia,SEC,30
15,11,James Pearce Jr.,Tennessee,EDGE,2025-02-16,15,ATLANTA FALCONS,Tennessee,SEC,30
16,16,Josh Simmons,Ohio State,OT,2025-02-16,11,SAN FRANCISCO 49ERS,Ohio,Big Ten,30
17,11,Luther Burden,Missouri,WR,2025-02-16,12,DALLAS COWBOYS,Missouri,SEC,30
18,18,Shemar Stewart,Texas A&M,EDGE,2025-02-16,27,BALTIMORE RAVENS,Texas,SEC,30
19,19,Armand Membou,Missouri,OT,2025-02-16,25,HOUSTON TEXANS,Missouri,SEC,30
20,20,Mike Green,Marshall,EDGE,2025-02-16,19,TAMPA BAY BUCCANEERS,West Virginia,FBS - CUSA,30
21,20,Tyler Booker,Alabama,IOL,2025-02-16,17,CINCINNATI BENGALS,Alabama,SEC,30
22,22,Walter Nolen,Ole Miss,DL,2025-02-16,16,ARIZONA CARDINALS,Mississippi,SEC,30
23,17,Colston Loveland,Michigan,TE,2025-02-16,20,DENVER BRONCOS,Michigan,Big Ten,30
24,20,Emeka Egbuka,Ohio State,WR,2025-02-16,21,PITTSBURGH STEELERS,Ohio,Big Ten,30
25,17,Kenneth Grant,Michigan,DL,2025-02-16,N/A,,Michigan,Big Ten,30
26,26,Jahdae Barron,Texas,CB,2025-02-16,23,GREEN BAY PACKERS,Texas,SEC,25
27,13,Nic Scourton,Texas A&M,EDGE,2025-02-16,32,PHILADELPHIA EAGLES,Texas,SEC,25
28,28,Matthew Golden,Texas,WR,2025-02-16,22,LOS ANGELES CHARGERS,Texas,SEC,25
29,27,Josh Conerly Jr.,Oregon,OT,2025-02-16,26,LOS ANGELES RAMS,Oregon,Big Ten,25
30,18,Shavon Revel Jr.,East Carolina,CB,2025-02-16,N/A,,North Carolina,FBS - AAC,25
31,17,Benjamin Morrison,Notre Dame,CB,2025-02-16,N/A,,Indiana,FBS - Independent,25
32,32,Jihaad Campbell,Alabama,LB,2025-02-16,N/A,,Alabama,SEC,25
33,33,Nick Emmanwori,South Carolina,S,2025-02-16,24,MINNESOTA VIKINGS,South Carolina,SEC,25
34,23,Derrick Harmon,Oregon,DL,2025-02-16,30,BUFFALO BILLS,Oregon,Big Ten,25
35,35,Donovan Jackson,Ohio State,IOL,2025-02-16,31,KANSAS CITY CHIEFS,Ohio,Big Ten,25
36,30,Jack Sawyer,Ohio State,EDGE,2025-02-16,28,DETROIT LIONS,Ohio,Big Ten,20
37,18,Aireontae Ersery,Minnesota,OT,2025-02-16,N/A,,Minnesota,Big Ten,20
38,30,Tyleik Williams,Ohio State,DL,2025-02-16,N/A,,Ohio,Big Ten,20
39,38,Grey Zabel,North Dakota State,IOL,2025-02-16,N/A,,North Dakota,FCS,20
40,36,Jaxson Dart,Ole Miss,QB,2025-02-16,N/A,,Mississippi,SEC,20
41,40,Azareye'h Thomas,Florida State,CB,2025-02-16,N/A,,Florida,ACC,20
42,9,Jalen Milroe,Alabama,QB,2025-02-16,N/A,,Alabama,SEC,20
43,27,Jonah Savaiinaea,Arizona,IOL,2025-02-16,N/A,,Arizona,Big 12,20
