School,Conference,ProjectedPoints,NumberOfProspects
Alabama,SEC,214,21
Georgia,SEC,194,17
Ohio State,Big Ten,182,16
Texas A&M,SEC,139,12
Oklahoma,Big 12,119,19
Clemson,ACC,109,17
Washington,Pac 12,96,7
Cincinnati,FBS - AAC,90,7
Notre Dame,FBS - Independent,87,11
Penn State,Big Ten,82,11
USC,Pac 12,75,10
Oregon,Pac 12,74,9
Auburn,SEC,73,12
Michigan,Big Ten,72,7
Ole Miss,SEC,70,11
Arkansas,SEC,67,8
Florida,SEC,65,9
LSU,SEC,63,10
Iowa State,Big 12,55,9
Purdue,Big Ten,55,3
NC State,ACC,54,6
Iowa,Big Ten,54,5
UCLA,Pac 12,52,10
Kentucky,SEC,52,8
South Carolina,SEC,48,7
Nevada,FBS - Mountain West,47,5
Miami (FL),ACC,44,12
Arizona State,Pac 12,38,8
Mississippi State,SEC,38,3
Liberty,FCS,36,2
Boston College,ACC,35,6
TCU,Big 12,34,6
Texas,Big 12,33,8
Coastal Carolina,FCS,32,7
Minnesota,Big Ten,31,6
North Carolina,ACC,31,2
Wisconsin,Big Ten,26,6
Northwestern,Big Ten,26,2
Utah,Pac 12,24,4
Virginia Tech,ACC,23,8
Indiana,Big Ten,23,7
Northern Iowa,FCS,20,1
Memphis,FBS - AAC,19,5
Stanford,Pac 12,16,4
West Virginia,Big 12,16,3
Missouri,SEC,15,6
Virginia,ACC,14,4
Tennessee,SEC,14,4
Baylor,Big 12,13,5
Florida State,ACC,13,4
Washington State,Pac 12,13,3
Oklahoma State,Big 12,12,4
SMU,FBS - AAC,12,2
Syracuse,ACC,11,2
UAB,FBS - CUSA,11,2
Rutgers,Big Ten,10,4
Texas Tech,Big 12,10,2
Colorado State,FBS - Mountain West,10,1
Boise State,FBS - Mountain West,10,1
South Alabama,FBS - Sun Belt,10,1
BYU,FBS - Independent,9,3
UTSA,FBS - CUSA,9,3
Michigan State,Big Ten,8,4
San Jose State,FBS - Mountain West,8,3
Fresno State,FBS - Mountain West,8,2
UConn,FBS - AAC,8,1
Central Michigan,FBS - MAC,7,3
UCF,FBS - AAC,7,3
Maryland,Big Ten,7,3
Duke,ACC,7,2
Tulsa,FBS - AAC,7,2
Western Michigan,FBS - MAC,6,2
Illinois,Big Ten,6,2
Louisiana-Lafayette,FBS - Sun Belt,6,1
Tulane,FBS - AAC,6,1
Appalachian State,FBS - Sun Belt,5,4
East Carolina,FBS - AAC,5,1
Houston,FBS - AAC,5,1
Southern Utah,FCS,5,1
Pitt,ACC,4,4
California,Pac 12,4,3
Nebraska,Big Ten,4,2
Louisville,ACC,3,3
Buffalo,FBS - MAC,3,3
Western Kentucky,FBS - CUSA,3,2
North Texas,FBS - CUSA,3,2
Oregon State,Pac 12,2,2
Troy,FBS - Sun Belt,2,2
Colorado,Pac 12,2,2
Marshall,FBS - CUSA,2,1
Florida International,FBS - CUSA,2,1
Wake Forest,ACC,2,1
North Dakota State,FCS,2,1
McNeese State,FCS,1,1
Jackson State,FCS,1,1
South Carolina State,FCS,1,1
South Florida,FBS - AAC,1,1
Sam Houston State,FCS,1,1
Jacksonville State,FCS,1,1
Ball State,FBS - MAC,1,1
San Diego State,FBS - Mountain West,1,1
Wyoming,FBS - Mountain West,1,1
Hawaii,FBS - Mountain West,1,1
Navy,FBS - AAC,1,1
Vanderbilt,SEC,1,1
Lindenwood,D2,1,1
Kent State,FBS - MAC,1,1
Southern Miss,FBS - CUSA,1,1
Georgia Southern,FBS - Sun Belt,1,1
Middle Tennessee State,FBS - CUSA,1,1
Georgia Tech,ACC,1,1
Louisiana Tech,FBS - CUSA,1,1
